corp_cd,corp_nm,upjong
348210,넥스틴,반도체
041140,넥슨지티,디지털컨텐츠
217270,넵튠,출판·매체복제
225570,넷게임즈,디지털컨텐츠
104620,노랑풍선,기타서비스
194700,노바렉스,음식료·담배
285490,노바텍,기타제조
278650,노터스,기타서비스
144510,녹십자랩셀,기타서비스
031390,녹십자셀,제약
142280,녹십자엠에스,제약
234690,녹십자웰빙,제약
065560,녹원씨엔아이,출판·매체복제
054050,농우바이오,"농업, 임업 및 어업"
040160,누리텔레콤,소프트웨어
069140,누리플랜,금속
126870,뉴로스,기계·장비
060260,뉴보텍,화학
012340,뉴인텍,IT부품
214870,뉴지랩파마,통신장비
270870,뉴트리,음식료·담배
144960,뉴파워프라즈마,기계·장비
900100,뉴프라이드,유통
085670,뉴프렉스,IT부품
119860,다나와,인터넷
064260,다날,디지털컨텐츠
093640,다믈멀티미디어,반도체
039560,다산네트웍스,통신장비
032190,다우데이타,유통
068240,다원시스,IT부품
020400,대동금속,금속
008830,대동기어,기계·장비
048470,대동스틸,금속
004780,대륙제관,금속
017650,대림제지,종이·목재
007720,대명소노시즌,유통
317850,대모,기계·장비
290670,대보마그네틱,기계·장비
078140,대봉엘에스,제약
036480,대성미생물,제약
025440,대성엘텍,일반전기전자
027830,대성창투,금융
104040,대성파인텍,운송장비·부품
332290,대신밸런스제7호스팩,금융
336570,대신밸런스제8호스팩,금융
369370,대신밸런스제9호스팩,금융
020180,대신정보통신,컴퓨터서비스
045390,대아티아이,일반전기전자
108380,대양전기공업,운송장비·부품
006580,대양제지,종이·목재
007680,대원,건설
048910,대원미디어,유통
005710,대원산업,운송장비·부품
290380,대유,화학
290120,대유에이피,운송장비·부품
120240,대정화금,화학
003310,대주산업,음식료·담배
078600,대주전자재료,IT부품
096350,대창솔루션,금속
140520,대창스틸,금속
131220,대한과학,유통
010170,대한광통신,일반전기전자
060900,대한그린파워,화학
054670,대한뉴팜,제약
023910,대한약품,제약
021040,대호특수강,금속
021045,대호특수강우,금속
067080,대화제약,제약
298540,더네이쳐홀딩스,유통
299170,더블유에스아이,유통
213420,덕산네오룩스,반도체
317330,덕산테코피아,반도체
077360,덕산하이메탈,일반전기전자
090410,덕신하우징,금속
263600,덕우전자,일반전기전자
194480,데브시스터즈,디지털컨텐츠
263800,데이타솔루션,정보기기
206560,덱스터,오락·문화
261200,덴티스,의료·정밀기기
067990,도이치모터스,유통
006620,동구바이오제약,제약
100130,동국S&C,금속
005160,동국산업,금속
075970,동국알앤에스,비금속
086450,동국제약,제약
099410,동방선기,운송장비·부품
033500,동성화인텍,화학
025950,동신건설,건설
088130,동아엘텍,기계·장비
041930,동아화성,화학
060380,동양에스텍,금속
079960,동양이엔피,IT부품
228340,동양파일,비금속
088910,동우팜투테이블,음식료·담배
094170,동운아나텍,반도체
013120,동원개발,건설
109860,동일금속,금속
032960,동일기연,IT부품
023790,동일철강,금속
005290,동진쎄미켐,반도체
025900,동화기업,종이·목재
073190,듀오백,기타제조
030350,드래곤플라이,디지털컨텐츠
203650,드림시큐리티,출판·매체복제
223250,드림씨아이에스,기타서비스
060570,드림어스컴퍼니,디지털컨텐츠
217620,디딤,숙박·음식
187870,디바이스이엔지,반도체
066670,디스플레이텍,IT부품
110990,디아이티,IT부품
263690,디알젬,의료·정밀기기
214680,디알텍,의료·정밀기기
263720,디앤씨미디어,디지털컨텐츠
109740,디에스케이,기계·장비
033430,디에스티,기계·장비
131030,디에이치피코리아,제약
196490,디에이테크놀로지,기계·장비
066900,디에이피,IT부품
127120,디엔에이링크,기타서비스
092070,디엔에프,화학
134580,디엠티,통신장비
039840,디오,의료·정밀기기
104460,디와이피엔에프,기계·장비
079810,디이엔티,기계·장비
227100,디자인,일반전기전자
113810,디젠스,운송장비·부품
043360,디지아이,정보기기
197140,디지캡,출판·매체복제
106520,디지탈옵틱,의료·정밀기기
068930,디지털대성,기타서비스
033130,디지틀조선,디지털컨텐츠
105740,디케이락,기계·장비
263020,디케이앤디,화학
290550,디케이티,IT부품
187220,디티앤씨,기타서비스
131180,딜리,정보기기
317120,라닉스,일반전기전자
042510,라온시큐어,소프트웨어
300120,라온피플,IT부품
171120,라이온켐텍,화학
069540,라이트론,통신장비
347700,라이프시맨틱스,소프트웨어
214260,라파스,화학
171010,램테크놀러지,반도체
084650,랩지노믹스,기타서비스
217500,러셀,기계·장비
033600,럭슬,운송장비·부품
141080,레고켐바이오,기타서비스
060300,레드로버,오락·문화
038390,레드캡투어,기타서비스
294140,레몬,화학
228670,레이,의료·정밀기기
228850,레이언스,의료·정밀기기
281740,레이크머티리얼즈,화학
277810,레인보우로보틱스,기계·장비
215100,로보로보,디지털컨텐츠
090360,로보스타,기계·장비
108490,로보티즈,소프트웨어
900260,로스웰,금융
067730,로지시스,컴퓨터서비스
071280,로체시스템즈,반도체
038060,루멘스,반도체
085370,루트로닉,의료·정밀기기
08537M,루트로닉3우C,의료·정밀기기
060240,룽투코리아,디지털컨텐츠
058470,리노공업,반도체
039980,리노스,유통
019570,리더스 기술투자,금융
016100,리더스코스메틱,화학
012700,리드코프,유통
