3555,LG우,2380,170700900 
71970,STX중공업,41415,169436485 
97230,한진중공업,21984,168189250 
271980,제일약품,3428,167327400 
8870,금비,2354,164958000 
5720,넥센,34263,164659585 
7280,한국특수형강,150332,163881665 
10420,한솔PNS,83183,159610300 
2630,오리엔트바이오,128857,159444905 
1080,만호제강,7630,158486650 
1530,DI동일,1013,158442500 
6340,대원전선,109149,158070805 
28513K,SK케미칼우,1647,153462000 
9070,KCTC,25363,151241680 
9450,경동나비엔,2767,151109800 
8040,사조동아원,120465,150822740 
1440,대한전선,198900,150398215 
89470,HDC현대EP,23999,149319660 
12320,경동인베스트,3640,149099050 
272550,삼양패키징,6040,148741400 
520,삼일제약,7352,148640950 
6880,신송홀딩스,30940,148055175 
111110,호전실업,14085,142283290 
850,화천기공,3932,140401650 
58730,다스코,27376,139487040 
2460,화성산업,11115,131900250 
9140,경인전자,4477,131229700 
19685,대교우B,47451,130399210 
357120,코람코에너지리츠,24267,129549940 
1460,BYC,355,129250000 
480,조선내화,1540,127876700 
67830,세이브존I&C,33597,126637435 
7980,태평양물산,90477,126171575 
2025,코오롱우,7014,125933900 
230,일동홀딩스,8396,122509200 
4830,덕성,4828,120522500 
33530,세종공업,11929,120225060 
4840,DRB동일,17896,118948360 
74610,이엔플러스,26773,118900950 
23810,인팩,16148,115983960 
17390,서울가스,1285,115811300 
226320,잇츠한불,4485,115558050 
37270,YG PLUS,23890,113730180 
4920,씨아이테크,101178,112879269 
11230,삼화전자,26999,110760625 
7610,선도전기,31918,109584575 
91810,티웨이항공,39645,109566375 
72710,농심홀딩스,1391,107753200 
144620,코오롱머티리얼,35606,106149075 
9440,KC그린홀딩스,21666,105847450 
214420,토니모리,13847,105815180 
33626K,두산퓨얼셀1우,6838,103466350 
2620,제일파마홀딩스,5377,102574900 
88260,이리츠코크렙,17806,101875850 
1260,남광토건,11226,101497750 
4090,한국석유,1998,100833500 
16580,환인제약,5531,100547450 
5950,이수화학,9443,100236200 
24890,대원화성,45100,99641455 
10640,진양폴리,30798,99550415 
163560,동일고무벨트,10756,97084350 
7110,일신석재,56180,95112765 
69640,한세엠케이,23873,93053545 
134790,시디즈,1429,91021500 
102460,이연제약,4977,89908450 
357250,미래에셋맵스리츠,18009,88643125 
1070,대한방직,2154,87810550 
3475,유안타증권우,21352,86742895 
100250,진양홀딩스,33909,84001835 
51630,진양화학,27373,83898415 
1140,국보,45187,82676780 
10400,우진아이엔에스,9915,82635790 
220,유유제약,11845,80562020 
25860,남해화학,7963,79812520 
3547,대신증권2우B,6894,77836800 
2820,선창산업,13899,74261240 
84870,TBH글로벌,37603,72654190 
267850,아시아나IDT,3300,70343200 
6660,삼성공조,7690,70143670 
15230,대창단조,10690,69788380 
102260,동성코퍼레이션,12609,68340760 
33626L,두산퓨얼셀2우B,3590,66417700 
9540,한국조선해양,1386,66336000 
3120,일성신약,806,66319800 
9770,삼정펄프,2130,65375400 
5305,롯데칠성우,989,64953500 
1550,조비,3045,64770250 
71090,하이스틸,21732,60652825 
4985,성신양회우,4497,58848400 
6380,카프로,15659,55502880 
14280,금강공업,15291,53293260 
16090,대현,24399,52403925 
5430,한국공항,1292,52174850 
4270,남성,26085,51355485 
10770,평화홀딩스,13586,50140045 
155,두산우,1267,50046350 
1725,신영증권우,865,48950000 
17900,광전자,20608,47503310 
5820,원림,2095,46461100 
19440,세아특수강,2913,44892200 
350520,이지스레지던스리츠,9069,44527165 
25890,한국주강,23193,43695450 
4700,조광피혁,789,43581500 
760,이화산업,2031,41210400 
293940,신한알파리츠,4821,36713630 
00279K,아모레G3우(전환),797,33764200 
6570,대림통상,8144,33688295 
7810,코리아써키트,2658,31444450 
3495,대한항공우,766,30818450 
5030,부산주공,46201,30722024 
90080,평화산업,27317,30488645 
378850,화승알앤에이,5183,27848540 
30790,비케이탑스,2820,26848250 
101530,해태제과식품,4078,25917890 
89590,제주항공,1256,24715700 
84670,동양고속,1001,23822050 
35320K,대덕전자1우,3839,22892830 
1620,케이비아이동국실업,24997,22659240 
2810,삼영무역,1368,22408550 
140910,에이리츠,2794,22365560 
308170,센트랄모텍,996,21788550 
140,하이트진로홀딩스,1470,20916400 
3830,대한화섬,153,20816000 
94280,효성ITX,1060,19622800 
25530,SJM홀딩스,5275,19581690 
300,대유플러스,24513,18500070 
9680,모토닉,1504,17910300 
180640,한진칼,1189,17547450 
1210,금호전기,6311,16862360 
3350,한국화장품제조,402,14016100 
5360,모나미,21487,11650640 
249420,일동제약,1105,11504850 
58650,세아홀딩스,135,10967900 
1560,제일연마,1265,10276200 
680,LS네트웍스,3439,9852290 
14285,금강공업우,793,9475500 
34590,인천도시가스,329,8606750 
6370,대구백화점,1017,6965760 
90355,노루페인트우,401,6203650 
78520,에이블씨엔씨,818,5947030 
248170,샘표식품,109,5547000 
9415,태영건설우,2831,4989650 
